Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
15.7,119.6,2021,tuna_purse_seines,1,3.37
18.7,124.2,2021,drifting_longlines,1,4.7
21.8,122.9,2021,drifting_longlines,1,0.32
13.4,120.3,2021,tuna_purse_seines,1,10.44
18.3,118.4,2021,drifting_longlines,1,6.92
18.5,118.4,2021,drifting_longlines,1,12.48
13.4,120.2,2021,tuna_purse_seines,1,8
19.2,122.8,2021,drifting_longlines,1,3.81
8.9,116.3,2021,inconclusive,1,1.5
17.6,119.9,2021,tuna_purse_seines,1,1.6
20.5,120.2,2021,drifting_longlines,2,2.94
14.3,120,2021,drifting_longlines,1,4.17
7.2,128.7,2021,drifting_longlines,1,7.14
13.8,121,2021,inconclusive,1,4.75
14.7,120.2,2021,tuna_purse_seines,5,24.16
21.5,122.9,2021,drifting_longlines,1,13.35
14.3,120.5,2021,drifting_longlines,2,2.43
20.1,123.5,2021,drifting_longlines,1,7.27
20.8,123.2,2021,drifting_longlines,1,7.25
20.5,122.8,2021,drifting_longlines,1,13.04
14.3,119.9,2021,fishing,1,0.42
18.5,118.5,2021,drifting_longlines,1,1.01
13.4,120,2021,inconclusive,1,2.1
18.1,117.7,2021,drifting_longlines,1,0.78
21.6,122.3,2021,drifting_longlines,1,1.05
10.8,115.8,2021,inconclusive,1,14.6
18.6,119.2,2021,drifting_longlines,1,8.04
18.6,118.7,2021,drifting_longlines,1,2.49
15.8,116.8,2021,inconclusive,1,1.6
15.6,119.4,2021,tuna_purse_seines,1,1.51
21.5,122.1,2021,drifting_longlines,3,3.96
13.3,120.4,2021,tuna_purse_seines,1,4.36
14.7,119.6,2021,drifting_longlines,1,1.38
7,128.7,2021,drifting_longlines,1,1.16
21.8,123.5,2021,drifting_longlines,1,0.5
18.9,119.8,2021,tuna_purse_seines,1,2.85
21.3,122.4,2021,drifting_longlines,1,4.99
18.7,124.3,2021,drifting_longlines,1,3.16
15.7,119.5,2021,tuna_purse_seines,1,4.08
19.8,120.7,2021,inconclusive,1,3.04
21.5,122.6,2021,drifting_longlines,1,2.58
10.5,128.9,2021,drifting_longlines,1,0.36
22.2,123.4,2021,drifting_longlines,1,2.1
10.6,128.8,2021,drifting_longlines,1,3
14.2,120,2021,tuna_purse_seines,2,6.88
18.6,118.2,2021,drifting_longlines,1,5.49
15.4,116.9,2021,inconclusive,1,1.05
20,125.1,2021,drifting_longlines,1,0.5
19.4,122.7,2021,drifting_longlines,1,2.51
18.7,118.7,2021,inconclusive,1,0.71
17.9,118,2021,drifting_longlines,1,1.14
17.7,117.5,2021,drifting_longlines,1,2.61
7.1,128.6,2021,drifting_longlines,1,0.33
7,125.5,2021,drifting_longlines,2,5.15
14.5,119.7,2021,tuna_purse_seines,2,6.85
14.5,120.9,2021,drifting_longlines,2,1.68
19.3,118.9,2021,drifting_longlines,1,0.62
17.9,120,2021,tuna_purse_seines,1,2.3
14.2,120.3,2021,tuna_purse_seines,1,4.06
20,125.2,2021,drifting_longlines,1,14.09
18.8,118.2,2021,drifting_longlines,1,0.27
14.3,119.7,2021,fishing,1,1.25
20,122.4,2021,drifting_longlines,1,0.75
14.6,120.9,2021,fishing,1,58.7
18.1,117.9,2021,drifting_longlines,1,1.3
20.6,120.3,2021,drifting_longlines,1,1.87
19.4,122.6,2021,drifting_longlines,1,11.48
19.7,120.4,2021,inconclusive,1,1.1
21.5,122.2,2021,drifting_longlines,1,1.05
19.4,123.4,2021,drifting_longlines,1,12.7
18,117.8,2021,drifting_longlines,1,4.89
19.2,119.7,2021,tuna_purse_seines,1,0.76
18.9,123.7,2021,drifting_longlines,1,2.77
18.1,118,2021,drifting_longlines,1,1.84
19.7,120.5,2021,inconclusive,1,2.31
18.6,118.6,2021,drifting_longlines,1,4.75
10.1,123.9,2021,inconclusive,1,1.6
10.7,128.6,2021,drifting_longlines,1,1.12
6.9,128.6,2021,drifting_longlines,1,3.29
18.7,124,2021,drifting_longlines,1,5.32
14.2,119.8,2021,squid_jigger,1,4.02
20.3,120.1,2021,drifting_longlines,1,4.04
19.9,122.5,2021,drifting_longlines,1,2.45
14.5,120.6,2021,inconclusive,1,236.58
14.4,120.5,2021,drifting_longlines,1,3.8
13.6,120.5,2021,inconclusive,1,1
